,COMMUNITY_AREA,total_listed_normalized,median_income,poverty_rate,white_listed,white_present,black_listed,black_present,native_listed,native_present,hispanic_listed,hispanic_present,asian_listed,asian_present,unknown_listed,unknown_present,white_percentages,black_percentages,asian_percentages,native_percentages,unknown_percentages,hispanic_percentages
0,ALBANY PARK,3.2691785340110977,44261,19.0,351,15054,266,2076,4,119,978,25487,81,7452,5,1354,2.33160621761658,12.8131021194605,1.0869565217391304,3.361344537815126,0.36927621861152143,3.837250362930121
1,ARCHER HEIGHTS,6.294332860449488,46207,12.1,115,2874,128,130,0,15,595,10182,1,138,4,54,4.001391788448156,98.46153846153847,0.7246376811594203,0.0,7.407407407407407,5.843645649184836
2,ARMOUR SQUARE,7.109252483010978,30263,27.9,147,1642,569,1419,2,4,169,464,62,9722,3,140,8.95249695493301,40.09866102889359,0.6377288623739972,50.0,2.142857142857143,36.422413793103445
3,ASHBURN,3.6878362259925512,59478,11.1,189,6251,958,18976,1,45,356,15132,6,277,5,400,3.0235162374020157,5.048482293423271,2.1660649819494586,2.2222222222222223,1.25,2.352630187681734
4,AUBURN GRESHAM,13.054182138973802,32672,26.4,107,134,6177,47661,3,81,59,459,10,35,7,373,79.85074626865672,12.96028199156543,28.571428571428573,3.7037037037037037,1.876675603217158,12.854030501089325
5,AUSTIN,18.167976125220783,33797,26.1,1204,4364,15046,83837,2,161,1585,8722,37,586,24,844,27.58936755270394,17.946729964097,6.313993174061434,1.2422360248447204,2.843601895734597,18.172437514331577
6,AVALON PARK,10.260186548846344,35163,21.9,21,81,1008,9751,0,18,14,153,2,23,0,159,25.925925925925927,10.337401292175162,8.695652173913043,0.0,0.0,9.15032679738562
7,AVONDALE,4.187254852019764,47183,16.9,404,11166,163,991,2,69,1043,25295,29,1199,3,542,3.618126455310765,16.44803229061554,2.4186822351959965,2.898550724637681,0.5535055350553506,4.123344534492983
8,BELMONT CRAGIN,6.739646698754175,42965,19.7,642,11959,526,2493,3,74,4092,62101,34,1545,10,571,5.368341834601555,21.099077416766946,2.2006472491909386,4.054054054054054,1.7513134851138354,6.589265873335373
9,BEVERLY,2.086453029849256,87628,4.5,82,11785,322,6838,0,23,13,915,0,121,1,352,0.6957997454391175,4.708979233694063,0.0,0.0,0.2840909090909091,1.4207650273224044
10,BRIDGEPORT,3.3586640397785907,47819,16.6,367,11225,210,672,2,41,434,8627,60,11045,1,367,3.269487750556793,31.25,0.5432322317790855,4.878048780487805,0.2724795640326976,5.030717514779182
11,BRIGHTON PARK,5.318726855933698,38993,21.6,227,3682,162,542,1,40,2001,38693,10,2252,12,159,6.165127648017382,29.88929889298893,0.44404973357015987,2.5,7.547169811320755,5.1714780451244415
12,BURNSIDE,8.984910836762689,30104,38.7,13,19,239,2849,0,2,7,20,1,0,2,26,68.42105263157895,8.388908388908389,100.0,0.0,7.6923076923076925,35.0
